buyPrice,sellPrice,date,dateInDatetime
0.540098,0.542703,946850400,2000-01-03T00:00:00
0.540793,0.543401,946936800,2000-01-04T00:00:00
0.535815,0.538399,947023200,2000-01-05T00:00:00
0.535141,0.537722,947109600,2000-01-06T00:00:00
0.535157,0.537738,947196000,2000-01-07T00:00:00
0.535157,0.537738,947541600,2000-01-11T00:00:00
0.539609,0.542212,947628000,2000-01-12T00:00:00
0.539275,0.541876,947714400,2000-01-13T00:00:00
0.540333,0.542939,947800800,2000-01-14T00:00:00
0.542726,0.545344,948060000,2000-01-17T00:00:00
0.546235,0.548869,948146400,2000-01-18T00:00:00
0.546401,0.549036,948232800,2000-01-19T00:00:00
0.546246,0.54888,948319200,2000-01-20T00:00:00
0.546873,0.54951,948405600,2000-01-21T00:00:00
0.547216,0.549855,948664800,2000-01-24T00:00:00
0.55032,0.552974,948751200,2000-01-25T00:00:00
0.550331,0.552985,948837600,2000-01-26T00:00:00
0.550795,0.553451,948924000,2000-01-27T00:00:00
0.553281,0.555949,949010400,2000-01-28T00:00:00
0.555761,0.558441,949269600,2000-01-31T00:00:00
0.557882,0.560572,949356000,2000-02-01T00:00:00
0.559804,0.562503,949442400,2000-02-02T00:00:00
0.560872,0.563577,949528800,2000-02-03T00:00:00
0.560361,0.563063,949615200,2000-02-04T00:00:00
0.559385,0.562082,949874400,2000-02-07T00:00:00
0.561722,0.564431,949960800,2000-02-08T00:00:00
0.558858,0.561553,950047200,2000-02-09T00:00:00
0.558478,0.561171,950133600,2000-02-10T00:00:00
0.560223,0.562924,950220000,2000-02-11T00:00:00
0.561976,0.564686,950479200,2000-02-14T00:00:00
0.562077,0.564787,950565600,2000-02-15T00:00:00
0.563961,0.56668,950652000,2000-02-16T00:00:00
0.564291,0.567012,950738400,2000-02-17T00:00:00
0.562425,0.565137,950824800,2000-02-18T00:00:00
0.564555,0.567277,951084000,2000-02-21T00:00:00
0.565309,0.568035,951170400,2000-02-22T00:00:00
0.561378,0.564085,951256800,2000-02-23T00:00:00
0.560952,0.563657,951343200,2000-02-24T00:00:00
0.565007,0.567732,951429600,2000-02-25T00:00:00
0.567767,0.570505,951688800,2000-02-28T00:00:00
0.573036,0.575799,951775200,2000-02-29T00:00:00
0.572057,0.574816,951861600,2000-03-01T00:00:00
0.573831,0.576598,951948000,2000-03-02T00:00:00
0.572295,0.575055,952034400,2000-03-03T00:00:00
0.574423,0.577193,952293600,2000-03-06T00:00:00
0.576777,0.579558,952380000,2000-03-07T00:00:00
0.578161,0.580949,952466400,2000-03-08T00:00:00
0.579062,0.581854,952552800,2000-03-09T00:00:00
0.577784,0.58057,952639200,2000-03-10T00:00:00
0.5783,0.581089,952898400,2000-03-13T00:00:00
0.577039,0.579822,952984800,2000-03-14T00:00:00
0.579391,0.582185,953071200,2000-03-15T00:00:00
0.579391,0.582185,953503200,2000-03-20T00:00:00
0.579855,0.582651,953589600,2000-03-21T00:00:00
0.580474,0.583273,953676000,2000-03-22T00:00:00
0.583332,0.586145,953762400,2000-03-23T00:00:00
0.58192,0.584726,953848800,2000-03-24T00:00:00
0.581412,0.584216,954104400,2000-03-27T00:00:00
0.582095,0.584902,954190800,2000-03-28T00:00:00
0.58408,0.586896,954277200,2000-03-29T00:00:00
0.586882,0.589712,954363600,2000-03-30T00:00:00
0.588318,0.591155,954450000,2000-03-31T00:00:00
0.58806,0.590896,954709200,2000-04-03T00:00:00
0.588608,0.591446,954795600,2000-04-04T00:00:00
0.589854,0.592698,954882000,2000-04-05T00:00:00
0.586075,0.588901,954968400,2000-04-06T00:00:00
0.588688,0.591527,955054800,2000-04-07T00:00:00
0.590351,0.593198,955314000,2000-04-10T00:00:00
0.590117,0.592963,955400400,2000-04-11T00:00:00
0.590736,0.593585,955486800,2000-04-12T00:00:00
0.592117,0.594972,955573200,2000-04-13T00:00:00
0.592477,0.595334,955659600,2000-04-14T00:00:00
0.590948,0.593798,955918800,2000-04-17T00:00:00
0.593047,0.595907,956005200,2000-04-18T00:00:00
0.595491,0.598363,956091600,2000-04-19T00:00:00
0.596675,0.599552,956178000,2000-04-20T00:00:00
0.599761,0.602653,956264400,2000-04-21T00:00:00
0.599749,0.602641,956523600,2000-04-24T00:00:00
0.599234,0.602124,956610000,2000-04-25T00:00:00
0.604097,0.60701,956696400,2000-04-26T00:00:00
0.605852,0.608773,956782800,2000-04-27T00:00:00
0.606302,0.609226,956869200,2000-04-28T00:00:00
0.609305,0.612243,957128400,2000-05-01T00:00:00
0.611207,0.614154,957214800,2000-05-02T00:00:00
0.610571,0.613515,957301200,2000-05-03T00:00:00
0.616313,0.619285,957387600,2000-05-04T00:00:00
0.615889,0.618859,957474000,2000-05-05T00:00:00
0.615074,0.61804,957733200,2000-05-08T00:00:00
0.617146,0.620122,957819600,2000-05-09T00:00:00
0.616751,0.619725,957906000,2000-05-10T00:00:00
0.613289,0.616246,957992400,2000-05-11T00:00:00
0.614317,0.617279,958078800,2000-05-12T00:00:00
0.616019,0.61899,958338000,2000-05-15T00:00:00
0.613903,0.616863,958424400,2000-05-16T00:00:00
0.617248,0.620224,958510800,2000-05-17T00:00:00
0.620541,0.623533,958597200,2000-05-18T00:00:00
0.620935,0.623929,958942800,2000-05-22T00:00:00
0.620561,0.623553,959029200,2000-05-23T00:00:00
0.617779,0.620758,959115600,2000-05-24T00:00:00
0.618675,0.621658,959202000,2000-05-25T00:00:00
0.620981,0.623975,959288400,2000-05-26T00:00:00
0.617754,0.620733,959547600,2000-05-29T00:00:00
0.616037,0.619008,959634000,2000-05-30T00:00:00
0.613665,0.616624,959720400,2000-05-31T00:00:00
0.614742,0.617706,959806800,2000-06-01T00:00:00
0.614701,0.617665,959893200,2000-06-02T00:00:00
0.612058,0.615009,960152400,2000-06-05T00:00:00
0.613336,0.616294,960238800,2000-06-06T00:00:00
0.61082,0.613765,960325200,2000-06-07T00:00:00
0.610892,0.613838,960411600,2000-06-08T00:00:00
0.608132,0.611064,960498000,2000-06-09T00:00:00
0.61343,0.616388,960757200,2000-06-12T00:00:00
0.612992,0.615948,960843600,2000-06-13T00:00:00
0.611057,0.614004,960930000,2000-06-14T00:00:00
0.611319,0.614267,961016400,2000-06-15T00:00:00
0.614463,0.617426,961102800,2000-06-16T00:00:00
0.613363,0.616321,961362000,2000-06-19T00:00:00
0.612768,0.615723,961448400,2000-06-20T00:00:00
0.615098,0.618064,961534800,2000-06-21T00:00:00
0.617993,0.620973,961621200,2000-06-22T00:00:00
0.619472,0.622459,961707600,2000-06-23T00:00:00
0.619986,0.622976,961966800,2000-06-26T00:00:00
0.622923,0.625927,962053200,2000-06-27T00:00:00
0.621992,0.624991,962139600,2000-06-28T00:00:00
0.621786,0.624784,962226000,2000-06-29T00:00:00
0.618985,0.62197,962312400,2000-06-30T00:00:00
0.618098,0.621079,962571600,2000-07-03T00:00:00
0.621018,0.624013,962658000,2000-07-04T00:00:00
0.621812,0.62481,962744400,2000-07-05T00:00:00
